Contestant,TournamentName,Outcome,Winnings,Format
James Holzhauer,Regular Season,"27-day champion: $2,065,535",74400,Regular Season
James Holzhauer,Regular Season,"26-day champion: $1,991,135",52108,Regular Season
James Holzhauer,Regular Season,"25-day champion: $1,939,027",71885,Regular Season
James Holzhauer,Regular Season,"24-day champion: $1,867,142",86905,Regular Season
James Holzhauer,Regular Season,"23-day champion: $1,780,237",89229,Regular Season
James Holzhauer,Regular Season,"22-day champion: $1,691,008",82381,Regular Season
James Holzhauer,Regular Season,"21-day champion: $1,608,627",80615,Regular Season
James Holzhauer,Regular Season,"20-day champion: $1,528,012",101682,Regular Season
James Holzhauer,Regular Season,"19-day champion: $1,426,330",96726,Regular Season
James Holzhauer,Regular Season,"18-day champion: $1,329,604",54017,Regular Season
James Holzhauer,Regular Season,"17-day champion: $1,275,587",49600,Regular Season
James Holzhauer,Regular Season,"16-day champion: $1,225,987",90812,Regular Season
James Holzhauer,Regular Season,"15-day champion: $1,135,175",73621,Regular Season
James Holzhauer,Regular Season,"14-day champion: $1,061,554",118816,Regular Season
James Holzhauer,Regular Season,"13-day champion: $942,738",90812,Regular Season
James Holzhauer,Regular Season,"12-day champion: $851,926",80006,Regular Season
James Holzhauer,Regular Season,"11-day champion: $771,920",74133,Regular Season
James Holzhauer,Regular Season,"9-day champion: $566,660",106181,Regular Season
James Holzhauer,Regular Season,"8-day champion: $460,479",45444,Regular Season
James Holzhauer,Regular Season,"7-day champion: $415,035",89158,Regular Season
James Holzhauer,Regular Season,"6-day champion: $325,877",27190,Regular Season
James Holzhauer,Regular Season,"5-day champion: $298,687",54322,Regular Season
James Holzhauer,Regular Season,"3-day champion: $133,451",50845,Regular Season
James Holzhauer,Regular Season,"2-day champion: $82,606",38926,Regular Season
James Holzhauer,Regular Season,"New champion: $43,680",43680,Regular Season
David Madden,Regular Season,"2nd place: $2,000",2000,Regular Season
David Madden,Regular Season,"19-day champion: $430,400",16500,Regular Season
David Madden,Regular Season,"18-day champion: $413,900",22000,Regular Season
David Madden,Regular Season,"17-day champion: $391,900",13200,Regular Season
David Madden,Regular Season,"16-day champion: $378,700",23999,Regular Season
David Madden,Regular Season,"15-day champion: $354,701",21400,Regular Season
David Madden,Regular Season,"14-day champion: $333,301",28200,Regular Season
David Madden,Regular Season,"13-day champion: $305,101",25000,Regular Season
David Madden,Regular Season,"12-day champion: $280,101",11000,Regular Season
David Madden,Regular Season,"11-day champion: $269,101",30001,Regular Season
David Madden,Regular Season,"10-day champion: $239,100",22000,Regular Season
David Madden,Regular Season,"9-day champion: $217,100",18600,Regular Season
David Madden,Regular Season,"8-day champion: $198,500",25000,Regular Season
David Madden,Regular Season,"7-day champion: $173,500",18000,Regular Season
David Madden,Regular Season,"6-day champion: $155,500",29000,Regular Season
David Madden,Regular Season,"5-day champion: $126,500",32100,Regular Season
David Madden,Regular Season,"4-day champion: $94,400",25000,Regular Season
David Madden,Regular Season,"3-day champion: $69,400",34200,Regular Season
David Madden,Regular Season,"2-day champion: $35,200",18800,Regular Season
David Madden,Regular Season,"New champion: $16,400",16400,Regular Season
Larissa Kelly,Regular Season,"3rd place: $1,000",1000,Regular Season
Larissa Kelly,Regular Season,"6-day champion: $222,597",42800,Regular Season
Larissa Kelly,Regular Season,"5-day champion: $179,797",33600,Regular Season
Larissa Kelly,Regular Season,"4-day champion: $146,197",37597,Regular Season
Larissa Kelly,Regular Season,"3-day champion: $108,600",28000,Regular Season
Larissa Kelly,Regular Season,"2-day champion: $80,600",35400,Regular Season
Larissa Kelly,Regular Season,"New champion: $45,200",45200,Regular Season
Matt Jackson,Regular Season,"2nd place: $2,000",2000,Regular Season
Matt Jackson,Regular Season,"13-day champion: $411,612",21201,Regular Season
Matt Jackson,Regular Season,"12-day champion: $390,411",51000,Regular Season
Matt Jackson,Regular Season,"11-day champion: $339,411",50000,Regular Season
Matt Jackson,Regular Season,"10-day champion: $289,411",40000,Regular Season
Matt Jackson,Regular Season,"9-day champion: $249,411",18801,Regular Season
Matt Jackson,Regular Season,"8-day champion: $230,610",40009,Regular Season
Matt Jackson,Regular Season,"7-day champion: $190,601",24200,Regular Season
Matt Jackson,Regular Season,"6-day champion: $166,401",26000,Regular Season
Matt Jackson,Regular Season,"5-day champion: $140,401",34401,Regular Season
Matt Jackson,Regular Season,"4-day champion: $106,000",24800,Regular Season
Matt Jackson,Regular Season,"3-day champion: $81,200",30000,Regular Season
Matt Jackson,Regular Season,"2-day champion: $51,200",30000,Regular Season
Matt Jackson,Regular Season,"New champion: $21,200",21200,Regular Season
Jason Zuffranieri,Regular Season,"2nd place: $2,000",2000,Regular Season
Jason Zuffranieri,Regular Season,"19-day champion: $532,496",30400,Regular Season
Jason Zuffranieri,Regular Season,"18-day champion: $502,096",30000,Regular Season
Jason Zuffranieri,Regular Season,"17-day champion: $472,096",35000,Regular Season
Jason Zuffranieri,Regular Season,"16-day champion: $437,096",18753,Regular Season
Jason Zuffranieri,Regular Season,"15-day champion: $418,343",18800,Regular Season
Jason Zuffranieri,Regular Season,"14-day champion: $399,543",37600,Regular Season
Jason Zuffranieri,Regular Season,"13-day champion: $361,943",5300,Regular Season
Jason Zuffranieri,Regular Season,"12-day champion: $356,643",24400,Regular Season
Jason Zuffranieri,Regular Season,"11-day champion: $332,243",58400,Regular Season
Jason Zuffranieri,Regular Season,"10-day champion: $273,843",40600,Regular Season
Jason Zuffranieri,Regular Season,"9-day champion: $233,243",41143,Regular Season
Jason Zuffranieri,Regular Season,"8-day champion: $192,100",25600,Regular Season
Jason Zuffranieri,Regular Season,"7-day champion: $166,500",29200,Regular Season
Jason Zuffranieri,Regular Season,"6-day champion: $137,300",27600,Regular Season
Jason Zuffranieri,Regular Season,"5-day champion: $109,700",4400,Regular Season
Jason Zuffranieri,Regular Season,"4-day champion: $105,300",30000,Regular Season
Jason Zuffranieri,Regular Season,"3-day champion: $75,300",30100,Regular Season
Jason Zuffranieri,Regular Season,"2-day champion: $45,200",18600,Regular Season
